p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
4.26341829674051e-284,0.984839341502194,0.491,0.323,1.62760256896366e-279,TNIK,Oli,Up reg
1.39186127808987e-196,3.8201162660137,0.058,0.005,5.31356961523589e-192,TMEM26,Oli,Up reg
1.40226311012622e-159,1.19913458940533,0.176,0.08,5.35327964921787e-155,AL445250.1,Oli,Up reg
1.2335622278373e-134,1.13787021670476,0.176,0.088,4.70924716099169e-130,ITPR2,Oli,Up reg
2.38308162001113e-101,0.622025630834652,0.22,0.131,9.09765239255448e-97,KCNAB1,Oli,Up reg
1.32367190022326e-89,1.1912431959168,0.135,0.07,5.05324984629233e-85,KIF19,Oli,Up reg
3.75946012964109e-86,0.649729683536964,0.314,0.224,1.43521149909178e-81,LRP4,Oli,Up reg
2.17006059398915e-79,0.953304807692824,0.133,0.071,8.28442332361297e-75,THBS4,Oli,Up reg
3.29293252896726e-67,0.806502485986194,0.132,0.075,1.25710992225854e-62,KCNK10,Oli,Up reg
1.02362750004834e-53,0.973050673066074,0.111,0.064,3.90780034418454e-49,AC022182.1,Oli,Up reg
2.50335208075426e-46,1.63995267363437,0.054,0.024,9.55679690348747e-42,ABCA9,Oli,Up reg
3.68055216154283e-36,2.05522156507787,0.022,0.007,1.40508759319059e-31,MYRFL,Oli,Up reg
1.03559030165095e-34,0.626489754580801,0.162,0.118,3.95346953558265e-30,LINC01470,Oli,Up reg
1.11031798265314e-33,0.771808755683751,0.084,0.052,4.23874993057662e-29,CHPT1,Oli,Up reg
4.38416849753528e-32,0.626680434353791,0.136,0.095,1.67370016561907e-27,APCDD1,Oli,Up reg
1.6590058616523e-31,1.35177199412545,0.034,0.015,6.33342077744381e-27,ITGB4,Oli,Up reg
4.4912905448348e-24,1.19058697690886,0.031,0.015,1.71459507839613e-19,FAP,Oli,Up reg
1.06938955396304e-22,0.721477833545146,0.108,0.078,4.08250156120932e-18,CLVS1,Oli,Up reg
1.26642770121571e-20,0.666533078611633,0.092,0.066,4.8347143921611e-16,GLIPR1L2,Oli,Up reg
1.14362021199275e-17,1.74514358738524,0.017,0.007,4.3658845213035e-13,HIF3A,Oli,Up reg
3.00234440456181e-15,0.764187984067319,0.047,0.031,1.14617499988552e-10,MYOT,Oli,Up reg
3.93862767132494e-14,0.69648754207145,0.065,0.047,1.50361049980501e-09,LINC00909,Oli,Up reg
5.0879816362258e-14,0.881708115688427,0.033,0.02,1.94238786944556e-09,ZNF334,Oli,Up reg
1.86070531641788e-12,0.932516559039568,0.019,0.01,7.10342861595692e-08,PTPRB,Oli,Up reg
6.39101500372314e-12,0.663055475422645,0.052,0.037,2.43983388782134e-07,LRMDA,Oli,Up reg
1.61795699124019e-10,0.750784414872187,0.036,0.024,6.17671260975853e-06,H2AFY2,Oli,Up reg
1.80153465146513e-09,0.912467595548047,0.023,0.014,6.87753868543328e-05,AL133480.1,Oli,Up reg
2.28864126972927e-08,0.899917068553526,0.056,0.043,0.000873711691131845,MIR4300HG,Oli,Up reg
6.46246781639624e-08,0.711907395611518,0.023,0.015,0.00246711171358743,VSX1,Oli,Up reg
6.87070730455999e-07,0.766919237936166,0.023,0.016,0.0262296122058882,AP001783.1,Oli,Up reg
8.37170015765856e-07,0.812514961745391,0.024,0.017,0.0319598025218773,ELK3,Oli,Up reg
9.03105414054153e-07,1.01153192267147,0.013,0.008,0.0344769522869314,AC010528.1,Oli,Up reg
9.26779388006032e-07,0.78140036649849,0.014,0.008,0.0353807299165183,ZNF534,Oli,Up reg
1.83471557292037e-78,0.641921298016575,0.482,0.346,7.00421017118082e-74,NLGN4Y,In,Up reg
6.2636265657492e-76,0.611337432711979,0.728,0.709,2.39120207774042e-71,SYN3,In,Up reg
1.31013226646222e-13,0.695225545049035,0.305,0.273,5.00156094044617e-09,AC007563.2,In,Up reg
6.29959675448431e-13,1.3318896922128,0.076,0.05,2.40493405699193e-08,MEPE,In,Up reg
5.67446130516534e-09,0.930821806963049,0.174,0.149,0.000216628234785992,TOGARAM2,In,Up reg
6.26035305726684e-08,0.761254048352849,0.265,0.249,0.00238995238314219,PNPLA7,In,Up reg
5.81679932115687e-07,0.857182516021452,0.208,0.191,0.0222062130884485,CENPJ,In,Up reg
1.19372200146434e-06,0.643085829175011,0.116,0.095,0.0455715311279027,ZFY,In,Up reg
1.6273809843432e-142,1.39359984487662,0.176,0.082,6.2126896458286e-138,TOGARAM2,Ex,Up reg
1.93750514807691e-71,0.607573389288212,0.372,0.298,7.39661965329842e-67,CENPJ,Ex,Up reg
8.19863242420748e-69,2.08593691135964,0.05,0.015,3.12990991426545e-64,ALLC,Ex,Up reg
5.89368851068533e-58,0.748672200679323,0.249,0.182,2.24997452583923e-53,ARHGAP28,Ex,Up reg
6.75633327844353e-54,0.810275078185797,0.184,0.124,2.5792977923786e-49,NXN,Ex,Up reg
7.25855456656687e-42,1.18738975099689,0.107,0.066,2.77102579133257e-37,WDR64,Ex,Up reg
1.26746070823744e-28,1.22675323394463,0.046,0.023,4.83865799976727e-24,HSD11B2,Ex,Up reg
8.52701719253447e-28,1.11548594719558,0.049,0.026,3.25527408342196e-23,LINC02080,Ex,Up reg
1.93319834743044e-24,1.28233865936749,0.043,0.023,7.38017801115046e-20,AC097487.1,Ex,Up reg
1.75799834615652e-23,0.886056260781188,0.077,0.05,6.71133448628711e-19,TNS3,Ex,Up reg
6.12613568223461e-22,0.922568186767283,0.06,0.037,2.33871355804988e-17,WDR63,Ex,Up reg
9.88821924039583e-21,0.927494421033368,0.064,0.041,3.77492657721351e-16,CFAP97D2,Ex,Up reg
1.34282442324388e-20,1.29405874086243,0.036,0.019,5.12636651817582e-16,PTGDR,Ex,Up reg
1.91418397128711e-20,0.723514135794344,0.117,0.087,7.30758872878566e-16,Z99774.1,Ex,Up reg
3.21185756331689e-20,0.725786299615503,0.12,0.09,1.22615874337186e-15,AC009093.2,Ex,Up reg
1.50994997544351e-18,0.66860411453869,0.06,0.039,5.76438502625316e-14,TMEM26,Ex,Up reg
1.38115601270967e-17,1.27663069887777,0.023,0.011,5.27270119412042e-13,AP005901.2,Ex,Up reg
1.67377773186411e-17,0.650460548734552,0.141,0.111,6.38981386916444e-13,AF279873.3,Ex,Up reg
4.18052526367742e-17,0.715488430392003,0.051,0.032,1.59595732466149e-12,AP001025.1,Ex,Up reg
5.19830368609829e-17,0.611726319408152,0.127,0.099,1.98450441520488e-12,OR2M4,Ex,Up reg
2.60966852642652e-16,0.997422750274903,0.025,0.013,9.96267056648588e-12,LINC02540,Ex,Up reg
1.0313083448446e-15,0.895629732194101,0.051,0.033,3.93712273727874e-11,GLYAT,Ex,Up reg
3.79716410456118e-15,0.779752620492532,0.048,0.031,1.44960536855728e-10,OGN,Ex,Up reg
7.63000659553893e-15,0.796805544044179,0.074,0.053,2.91283131791294e-10,AC012074.1,Ex,Up reg
2.37261106738035e-14,0.89165886111373,0.046,0.029,9.05768001083121e-10,PMFBP1,Ex,Up reg
4.58075415641588e-14,0.858156510971085,0.04,0.025,1.74874870675333e-09,PDGFRL,Ex,Up reg
5.5735921074389e-14,0.797403607445357,0.079,0.059,2.12777452293587e-09,NPIPB2,Ex,Up reg
1.27480442653212e-11,0.690614682479284,0.074,0.056,4.86669337872902e-07,AC026167.1,Ex,Up reg
1.6330851396511e-10,0.863547539752896,0.046,0.032,6.23446582913205e-06,GOLGA6L10,Ex,Up reg
2.1333195525839e-10,0.752684065115552,0.038,0.026,8.14416072394429e-06,FAM66E,Ex,Up reg
9.21216467311189e-10,0.714746818378124,0.051,0.037,3.5168359856072e-05,HEBP2,Ex,Up reg
2.19579638027853e-09,0.984576032068412,0.016,0.009,8.3826722613513e-05,IL33,Ex,Up reg
2.86051240690336e-09,0.67065270084858,0.044,0.031,0.000109202921645943,AC004485.1,Ex,Up reg
3.78830221154295e-09,0.78305560754294,0.043,0.03,0.000144622225227864,AL662844.4,Ex,Up reg
4.33433944494064e-08,0.704268301811931,0.057,0.044,0.00165467742650054,LINC01990,Ex,Up reg
5.95251851983713e-08,0.706876508761709,0.04,0.029,0.00227243347013302,AC003684.1,Ex,Up reg
1.09026008234508e-07,0.616377772277975,0.042,0.031,0.00416217689036058,KANK2,Ex,Up reg
3.30239328445319e-07,0.721294199779307,0.029,0.02,0.0126072166027285,LINC00290,Ex,Up reg
3.84983688102534e-07,0.858258966910209,0.015,0.009,0.0146971372770023,EBF3,Ex,Up reg
7.45578664617252e-07,0.755560349549294,0.032,0.023,0.0284632111004282,MGAM,Ex,Up reg
7.53234353458278e-07,0.728878468123797,0.033,0.024,0.0287554746776232,CASP7,Ex,Up reg
5.29115439174477e-07,1.6736027583389,0.417,0.165,0.0201995110059248,GLI3,Mes,Up reg
6.75794028307078e-216,1.46384961825,0.7,0.338,2.5799112824651e-211,COLEC12,Ast,Up reg
1.22797984811366e-163,0.947740434619299,0.788,0.487,4.68793586815871e-159,GFAP,Ast,Up reg
2.25901373219621e-103,1.01467407220695,0.678,0.438,8.62401082403223e-99,PLEKHA5,Ast,Up reg
1.38673829273541e-98,0.797413774505612,0.792,0.611,5.2940121063467e-94,TAB2,Ast,Up reg
1.3620735877603e-92,1.04162411364294,0.482,0.245,5.19985212863373e-88,PLCE1,Ast,Up reg
2.68708730438348e-91,1.17716912657108,0.591,0.361,1.02582244932144e-86,TMTC1,Ast,Up reg
3.85923269162277e-90,1.16326274118609,0.608,0.384,1.47330067235391e-85,MAOB,Ast,Up reg
1.37741951872602e-85,1.09231769608612,0.475,0.252,5.25843675468845e-81,SYTL4,Ast,Up reg
1.43446568779389e-84,1.31777328428312,0.458,0.254,5.47621620972194e-80,ARHGEF3,Ast,Up reg
5.01055326706961e-82,1.81450677571092,0.283,0.108,1.9128288152365e-77,RFTN1,Ast,Up reg
2.89374083896197e-78,1.20338153965262,0.441,0.234,1.10471450268212e-73,CFAP54,Ast,Up reg
2.25226780757274e-72,1.33779370375878,0.319,0.142,8.59825758218968e-68,GMPR,Ast,Up reg
2.84080014410993e-72,1.29575508920828,0.385,0.197,1.08450386301541e-67,CFAP47,Ast,Up reg
1.48779826027752e-59,1.12744687772589,0.372,0.199,5.67981863843548e-55,COL21A1,Ast,Up reg
1.22865727799511e-55,0.887522872806795,0.431,0.249,4.69052202447414e-51,WDR49,Ast,Up reg
4.66813287457947e-54,0.970736196513254,0.608,0.464,1.78210640619946e-49,TPST1,Ast,Up reg
4.35554016080145e-51,0.954134905710153,0.302,0.151,1.66277101178756e-46,TOGARAM2,Ast,Up reg
4.27910026272742e-47,1.06808939541177,0.29,0.148,1.63358931629882e-42,SERPINI2,Ast,Up reg
1.35816058201975e-44,1.4001499178292,0.147,0.05,5.18491383791861e-40,LMO2,Ast,Up reg
9.09667975379922e-38,1.55662388949623,0.146,0.057,3.47274846281039e-33,FAP,Ast,Up reg
6.91294180080797e-36,0.782816712469445,0.35,0.216,2.63908466187645e-31,LGALS3,Ast,Up reg
2.21076511968883e-35,1.86069346370989,0.116,0.04,8.43981692092409e-31,AC018618.1,Ast,Up reg
5.1797658780225e-35,1.11477052314631,0.156,0.064,1.97742742159387e-30,TNFRSF11B,Ast,Up reg
1.31729840146392e-34,1.27373217069332,0.172,0.076,5.02891837742867e-30,EMP1,Ast,Up reg
2.20741082241564e-34,0.729202039425341,0.393,0.257,8.42701155565393e-30,CD109,Ast,Up reg
5.69204065469874e-34,0.926416402696499,0.386,0.259,2.17299344033779e-29,C2CD2,Ast,Up reg
9.58419269936888e-33,1.50410608965346,0.102,0.033,3.65886140491106e-28,RASGEF1A,Ast,Up reg
1.15332187723745e-32,0.674221217890877,0.41,0.277,4.40292159854168e-28,CNTNAP3,Ast,Up reg
4.69407126320751e-31,0.973928260248653,0.224,0.119,1.7920086454421e-26,TRMT9B,Ast,Up reg
1.00087507198395e-30,0.632758593794201,0.238,0.127,3.82094067480592e-26,GALNT15,Ast,Up reg
2.55915060625639e-30,0.867148267668475,0.252,0.143,9.76981335444439e-26,FAM20C,Ast,Up reg
9.13676239246716e-29,1.99867463429179,0.08,0.024,3.48805041094826e-24,AL031056.1,Ast,Up reg
4.51859592408297e-28,0.802789767824033,0.262,0.157,1.72501917997792e-23,SYNM,Ast,Up reg
3.37780681248896e-27,2.27071716324881,0.09,0.031,1.28951152873578e-22,C6orf118,Ast,Up reg
3.92640635286351e-26,1.42917711478862,0.111,0.045,1.49894488926917e-21,IL1R1,Ast,Up reg
5.02492595446191e-26,1.23243868010495,0.096,0.035,1.91831573237538e-21,SUSD4,Ast,Up reg
1.10040813827537e-24,1.83079665731097,0.068,0.02,4.20091810868005e-20,C1orf87,Ast,Up reg
6.36863373068041e-24,1.3058144408212,0.121,0.055,2.43128961302455e-19,DEPP1,Ast,Up reg
9.48668958409816e-24,0.723207153217164,0.269,0.17,3.62163861562531e-19,P2RY14,Ast,Up reg
8.89077391082351e-23,1.30635003551977,0.084,0.031,3.39414184819598e-18,C1R,Ast,Up reg
2.56470913807729e-22,1.58633210967097,0.063,0.019,9.79103360552388e-18,TMPRSS3,Ast,Up reg
5.57581197787835e-21,0.647354734225294,0.227,0.139,2.12862198067484e-16,TMBIM1,Ast,Up reg
3.13849182702406e-20,0.731960406100221,0.173,0.097,1.1981506398847e-15,C1RL,Ast,Up reg
4.38973328403426e-18,1.93993064876568,0.037,0.008,1.67582457851292e-13,SOCS3,Ast,Up reg
1.34875025976478e-17,0.640949335413399,0.181,0.108,5.14898899167803e-13,CHI3L1,Ast,Up reg
1.46781221948921e-17,1.35928629780085,0.074,0.03,5.603519929122e-13,DLEC1,Ast,Up reg
2.44650557149837e-17,1.56584659453129,0.104,0.051,9.33977966975218e-13,LINC01411,Ast,Up reg
4.36065010536558e-17,2.70257133128104,0.028,0.005,1.66472178422437e-12,APOL4,Ast,Up reg
3.62801333756678e-16,0.73758218684572,0.113,0.058,1.3850303717495e-11,SERPING1,Ast,Up reg
3.9860915855765e-16,0.692117314196452,0.141,0.08,1.52173032370968e-11,IFI16,Ast,Up reg
4.70434762915826e-16,0.977788516372116,0.131,0.073,1.79593175090746e-11,MT1F,Ast,Up reg
1.33201702015188e-15,1.6773808508012,0.064,0.025,5.08510817613183e-11,LINC01876,Ast,Up reg
1.72715470330724e-15,1.49916442516366,0.081,0.037,6.59358579534574e-11,AC036108.3,Ast,Up reg
6.66026228639626e-15,0.67387400731793,0.155,0.094,2.54262173045464e-10,CADM3,Ast,Up reg
7.92314341272795e-15,2.1324953655906,0.045,0.015,3.02473922924302e-10,IQCM,Ast,Up reg
1.37138446545469e-14,0.641369599177925,0.169,0.104,5.23539733531983e-10,RGR,Ast,Up reg
4.94299477687716e-14,1.13313898975323,0.078,0.037,1.88703768602062e-09,PI16,Ast,Up reg
1.50368518323918e-13,0.792295568228327,0.131,0.077,5.74046855553388e-09,SLC25A24,Ast,Up reg
1.41265591060909e-12,0.769647098107511,0.136,0.083,5.39295520434126e-08,NOD1,Ast,Up reg
4.65372973163293e-12,1.24237355758697,0.047,0.019,1.77660786234819e-07,GBP2,Ast,Up reg
8.94996474598005e-12,1.09213881558548,0.081,0.042,3.41673854142535e-07,CCDC170,Ast,Up reg
9.77682868414086e-12,1.07869931873145,0.037,0.013,3.73240211845761e-07,CCL2,Ast,Up reg
4.7837208848958e-11,0.816732794317759,0.087,0.048,1.82623328501782e-06,CNTNAP1,Ast,Up reg
5.89140148831298e-10,1.46901423915959,0.044,0.019,2.24910143217836e-05,A4GALT,Ast,Up reg
9.77557439021564e-10,0.784010649041058,0.116,0.073,3.73192327920872e-05,EGF,Ast,Up reg
3.87259739947159e-09,1.92397151346475,0.029,0.01,0.000147840278322228,OSTN,Ast,Up reg
4.37599283527119e-09,0.93260347340125,0.064,0.034,0.000167057902479313,FAM89A,Ast,Up reg
5.67470316177169e-09,0.873306391850549,0.099,0.061,0.000216637467903796,CCDC190,Ast,Up reg
6.19843636327764e-09,0.703977742567242,0.043,0.019,0.000236631506604487,PTP4A3,Ast,Up reg
6.98455064396376e-09,0.827270546155573,0.072,0.041,0.00026664220538396,DNAH5,Ast,Up reg
7.50949884181423e-09,0.812297858389302,0.067,0.037,0.0002866826277851,MYO5C,Ast,Up reg
7.94168860704818e-09,0.908042868402234,0.084,0.05,0.000303181904262671,STPG1,Ast,Up reg
2.63595061925243e-08,0.632648579152117,0.14,0.098,0.00100630050840581,PTCH2,Ast,Up reg
4.02923721029626e-08,1.22342729595108,0.045,0.022,0.0015382015974027,MAFTRR,Ast,Up reg
5.39240303392063e-08,1.16055217895462,0.033,0.014,0.00205860378222954,RPE65,Ast,Up reg
7.49734619283712e-08,1.0165936818794,0.042,0.02,0.0028621868825775,FXYD3,Ast,Up reg
1.06178320185258e-07,1.05159918293277,0.039,0.018,0.00405346355139242,PCDHB7,Ast,Up reg
1.13787640505246e-07,0.648287688282572,0.061,0.034,0.00434395696392826,AC004470.1,Ast,Up reg
1.42777024222669e-07,0.631061572542654,0.124,0.086,0.00545065567672461,HAP1,Ast,Up reg
1.77805084547066e-07,1.47142230975112,0.052,0.028,0.0067878869076688,DRC1,Ast,Up reg
2.7424098687322e-07,2.27329243313457,0.022,0.007,0.010469423914872,AC026167.1,Ast,Up reg
4.38023101731574e-07,1.87604744517696,0.019,0.006,0.0167219699317046,P2RY6,Ast,Up reg
4.56568739850539e-07,0.700313760840929,0.079,0.049,0.0174299682125342,VASN,Ast,Up reg
5.73776714241789e-07,1.0265866622736,0.049,0.026,0.0219044998428946,RAI2,Ast,Up reg
5.75923889809869e-07,0.667670090036933,0.129,0.092,0.0219864704173816,TUBA1C,Ast,Up reg
8.77661186618629e-07,1.04391665695075,0.036,0.018,0.0335055934603528,CA1,Ast,Up reg
1.26445353619778e-06,1.53894980739063,0.016,0.005,0.0482717781978863,SPATA12,Ast,Up reg
2.07413122778322e-52,0.993697939880264,0.571,0.352,7.91820337518523e-48,FAM13C,Opc,Up reg
4.52314039393355e-35,1.48017904819782,0.201,0.077,1.72675407678807e-30,C16orf95,Opc,Up reg
2.14641143604073e-34,0.680919805613377,0.6,0.412,8.19414029822909e-30,BCL6,Opc,Up reg
4.67293052208896e-34,1.40661145249563,0.222,0.092,1.78393795611268e-29,ACAN,Opc,Up reg
4.67940950359262e-33,0.645668578364526,0.551,0.356,1.78641137209152e-28,GPNMB,Opc,Up reg
4.80343732391609e-33,2.37649003706584,0.098,0.019,1.83376023277821e-28,KIAA0040,Opc,Up reg
5.76326888783935e-32,0.795150395021754,0.48,0.312,2.20018553062155e-27,NPAS2,Opc,Up reg
3.76798317916571e-31,0.827506124085364,0.424,0.262,1.4384652584783e-26,RFX4,Opc,Up reg
1.75830593162442e-29,0.652576501214266,0.533,0.362,6.7125087245694e-25,SYN3,Opc,Up reg
3.11852070352356e-26,1.20633225265928,0.236,0.118,1.19052646377715e-21,OSMR,Opc,Up reg
9.40764650700419e-24,0.774436854768007,0.36,0.225,3.59146313051392e-19,PYGL,Opc,Up reg
9.36971745403627e-21,0.761564907388414,0.359,0.229,3.57698333525289e-16,FAR2,Opc,Up reg
1.08222214714576e-19,1.50452924493381,0.119,0.047,4.13149126894367e-15,ARID5A,Opc,Up reg
4.82867663541801e-18,1.3381556435576,0.126,0.054,1.84339559233718e-13,KLHDC8A,Opc,Up reg
2.06284269646919e-17,1.90612072375904,0.106,0.043,7.87510827804076e-13,NPTX2,Opc,Up reg
2.16469559090228e-17,0.944492740538252,0.222,0.126,8.26394188782856e-13,MAP1LC3B,Opc,Up reg
5.61098373632438e-17,0.610328351443448,0.311,0.197,2.14204915117919e-12,SLC6A11,Opc,Up reg
9.78704801574433e-17,1.3814198710378,0.112,0.047,3.73630345049056e-12,SRPX,Opc,Up reg
1.64799665135868e-16,0.659794286763498,0.311,0.202,6.29139201622692e-12,DNAH11,Opc,Up reg
1.96222047357588e-16,0.63816274568566,0.371,0.253,7.49097287992328e-12,IFI16,Opc,Up reg
2.15557782331656e-16,1.00425177596772,0.199,0.112,8.22913389829331e-12,SLC26A2,Opc,Up reg
1.29382610855285e-15,0.819491420209407,0.228,0.136,4.93931055201135e-11,HAP1,Opc,Up reg
5.37329820556842e-15,1.01672211940226,0.165,0.088,2.0513103229578e-10,CEBPD,Opc,Up reg
